site_name,wbid,ir_wbid,latitude,longitude,sample_id,collection_date,year,huc_8,riverbasin,cycle,pcid,comid,basin,mod_ecoregion,oldecoregion,watershed_area,fwp,totalindividuals,total_species,sensitive_benthic_species,sunfish_species,intolerant_species,proportion_tolerant,proportion_insectivorous,proportion_lithophilic,percentdelt,total_species_score,sensitive_benthic_score,sunfish_species_score,intolerant_species_score,tolerant_score,insectivorous_score,lithophilic_score,total_score,comparison_to_reference,integrity_class,lettergrade,task,collection_date_str,score_validated
Panther Creek: Hwy 49,OK311310-02-0150G,OK311310020150_00,34.7246944,-98.6734444,44185,2009-06-10,2009,11130203,Upper Red R.,2,OK311310-02-0150G_2,573038,Washita-Red,Central Great Plains,Central Great Plains,18.837,WWAC,34,4,0,4,0,1.0,0.0,0.0,0,1,1,5,1,1,1,1,11,0.491510277,Poor,,Blue Thumb,2009-06-10,True
Park Hill Branch Creek: Murrell Home,OK121700-02-0270L,OK121700020270_00,35.85468333,-94.957,44238,2009-08-05,2009,11110103,Illinois R.,2,OK121700-02-0270L_2,401724,Arkansas-Canadian,Ouachita Mountains,Ozark Highlands,33.6096,WWAC,125,16,7,2,8,0.176,0.456,0.808,0,5,5,3,5,3,5,5,31,1.177364223,Excellent,,Blue Thumb,2009-08-05,True
Park Hill Branch Creek: Murrell Home,OK121700-02-0270L,OK121700020270_00,35.85468333,-94.957,51648,2013-07-09,2013,11110103,Illinois R.,3,OK121700-02-0270L_3,401724,Arkansas-Canadian,Ouachita Mountains,Ozark Highlands,33.6096,WWAC,192,11,5,1,4,0.041666667,0.166666667,0.947916667,0,5,5,1,5,5,1,5,27,1.025446259,Excellent,,Blue Thumb,2013-07-09,True
Park Hill Branch Creek: Murrell Home,OK121700-02-0270L,OK121700020270_00,35.85468,-94.957,58628,2017-08-30,2017,11110103,Illinois R.,4,OK121700-02-0270L_4,401724,Arkansas-Canadian,Ouachita Mountains,Ozark Highlands,33.6096,WWAC,723,12,6,1,5,0.066390041,0.05670816,0.932226833,0,5,5,1,5,5,1,5,27,1.025446259,Excellent,,Blue Thumb,2017-08-30,True
Parkhill Branch: Parkhill Rd.,OK121700-02-0270N,OK121700020270_00,35.8548,-94.9676,51641,2013-06-12,2013,11110103,Illinois R.,3,OK121700-02-0270N_3,400970,Arkansas-Canadian,Ozark Highlands,Ozark Highlands,18.7695,WWAC,354,10,2,4,1,0.290960452,0.0,0.692090395,0,3,1,5,1,1,1,5,17,0.525827405,Poor,,Blue Thumb,2013-06-12,True
Polecat Creek: 33rd West,OK120420-02-0050G,OK120420020050_00,36.0151,-96.0297,23158,2001-06-27,2001,11110101,Arkansas R.,1,OK120420-02-0050G_1,368897,Arkansas-Canadian,Cross Timbers,Central Oklahoma/Texas Plains,860.2551,WWAC,714,19,3,7,3,0.879551821,0.039215686,0.079831933,0,5,5,5,5,1,1,1,23,1.010989011,Excellent,,Blue Thumb,2001-06-27,True
Polecat Creek: 33rd West,OK120420-02-0050G,OK120420020050_00,36.0151,-96.0297,35751,2006-07-05,2006,11110101,Arkansas R.,2,OK120420-02-0050G_2,368897,Arkansas-Canadian,Cross Timbers,Central Oklahoma/Texas Plains,860.2551,WWAC,678,19,5,4,3,0.824483776,0.007374631,0.137168142,0,5,5,3,5,1,1,1,21,0.923076923,Excellent,,Blue Thumb,2006-07-05,True
Polecat Creek: 33rd West,OK120420-02-0050G,OK120420020050_00,36.0151,-96.0297,35746,2006-07-05,2006,11110101,Arkansas R.,2,OK120420-02-0050G_2,368897,Arkansas-Canadian,Cross Timbers,Central Oklahoma/Texas Plains,860.2551,WWAC,1209,23,5,7,3,0.913151365,0.018196857,0.05624483,0,5,5,5,5,1,1,1,23,1.010989011,Excellent,,Blue Thumb,2006-07-05,True
Polecat Creek: 33rd West,OK120420-02-0050G,OK120420020050_00,36.0151,-96.0297,52619,2013-10-07,2013,11110101,Arkansas R.,3,OK120420-02-0050G_3,368897,Arkansas-Canadian,Cross Timbers,Central Oklahoma/Texas Plains,860.2551,WWAC,1565,27,6,6,4,0.828753994,0.058785942,0.060063898,0,5,5,5,5,1,1,1,23,1.010989011,Excellent,,Blue Thumb,2013-10-07,True
Polecat Creek: 49th West Ave,OK120420-02-0050J,OK120420020050_00,36.02201,-96.04861,48328,2010-07-26,2010,11110101,Arkansas R.,2,OK120420-02-0050J_2,368895,Arkansas-Canadian,Cross Timbers,Central Oklahoma/Texas Plains,847.5084,WWAC,1194,17,2,7,2,0.965661642,0.024288107,0.007537688,0,5,3,5,5,1,1,1,21,0.923076923,Excellent,,Blue Thumb,2010-07-26,True
"Posey Creek: Sandusky Avenue, Yale Place",OK120420-01-0030G,OK120420010030_00,35.9636,-95.9283,29124,2003-08-13,2003,11110101,Arkansas R.,1,OK120420-01-0030G_1,369621,Arkansas-Canadian,Central Irregular Plains,Central Irregular Plains,34.6032,WWAC,1849,22,5,8,4,0.563547864,0.001081666,0.106003245,0,5,5,5,5,1,1,1,23,0.982905983,Excellent,,Blue Thumb,2003-08-13,True
"Posey Creek: Sandusky Avenue, Yale Place",OK120420-01-0030G,OK120420010030_00,35.9636,-95.9283,37919,2007-07-27,2007,11110101,Arkansas R.,2,OK120420-01-0030G_2,369621,Arkansas-Canadian,Central Irregular Plains,Central Irregular Plains,34.6032,WWAC,633,20,4,7,2,0.79778831,0.02685624,0.037914692,0,5,5,5,3,1,1,1,21,0.897435897,Excellent,,Blue Thumb,2007-07-27,True
"Posey Creek: Sandusky Avenue, Yale Place",OK120420-01-0030G,OK120420010030_00,35.9636,-95.9283,38176,2007-07-27,2007,11110101,Arkansas R.,2,OK120420-01-0030G_2,369621,Arkansas-Canadian,Central Irregular Plains,Central Irregular Plains,34.6032,WWAC,670,25,5,8,3,0.67761194,0.097014925,0.047761194,0,5,5,5,5,1,1,1,23,0.982905983,Excellent,,Blue Thumb,2007-07-27,True
Post Oak Creek: Indiahoma Road,OK311310-02-0070T,OK311310020070_00,34.6967777,-98.7335277,30962,2004-08-26,2004,11130203,Upper Red R.,1,OK311310-02-0070T_1,572540,Washita-Red,Central Great Plains,Central Great Plains,10.1781,WWAC,26,5,1,3,0,0.961538462,0.0,0.038461538,0,3,3,5,1,1,1,1,15,0.670241287,Fair,,Blue Thumb,2004-08-26,True
Post Oak Creek: Indiahoma Road,OK311310-02-0070T,OK311310020070_00,34.6967777,-98.7335277,44184,2009-06-09,2009,11130203,Upper Red R.,2,OK311310-02-0070T_2,572540,Washita-Red,Central Great Plains,Central Great Plains,10.1781,WWAC,19,5,0,4,0,1.0,0.0,0.0,0,3,1,5,1,1,1,1,13,0.580875782,Poor,,Blue Thumb,2009-06-09,True
Quapaw Creek: Scott,OK121300-04-0030M,OK621200020110_00,36.386917,-97.071111,36253,2006-08-25,2006,11060006,Arkansas R.,2,OK121300-04-0030M_2,20970436,Cimarron-Upper Arkansas,Central Great Plains,Central Great Plains,8.244,WWAC,520,18,3,6,1,0.942307692,0.001923077,0.030769231,0,5,5,5,5,1,1,1,23,1.027703307,Excellent,,Blue Thumb,2006-08-25,True
Ranch Creek: Owasso,OK121300-01-0060G,OK121300010060_00,36.27055556,-95.867,38175,2007-08-22,2007,11070107,Arkansas R.,2,OK121300-01-0060G_2,847442,Neosho-Grand,Central Irregular Plains,Central Irregular Plains,50.9895,WWAC,383,20,5,7,2,0.851174935,0.060052219,0.070496084,0,5,5,5,3,1,1,1,21,0.897435897,Excellent,,Blue Thumb,2007-08-22,True
Ranch Creek: Owasso,OK121300-01-0060G,OK121300010060_00,36.27055556,-95.867,49689,2012-06-12,2012,11070107,Arkansas R.,3,OK121300-01-0060G_3,847442,Neosho-Grand,Central Irregular Plains,Central Irregular Plains,50.9895,WWAC,558,17,3,8,1,0.833333333,0.005376344,0.041218638,0,5,3,5,1,1,1,1,17,0.726495726,Fair,,Blue Thumb,2012-06-12,True
Rawhide Creek: Squires (N 2230),OK520620-02-0140D,OK520620020140_00,36.037,-99.0255833,33820,2005-09-14,2005,11090201,Canadian R.,1,OK520620-02-0140D_1,5262474,U Canadian,Central Great Plains,Central Great Plains,56.1762,WWAC,695,12,1,4,1,0.686330935,0.313669065,0.0,0,5,3,5,5,1,3,1,23,1.027703307,Excellent,,Blue Thumb,2005-09-14,True
Relay Creek: Stevenson,OK520530-00-0150C,OK520530000150_00,35.77559,-98.3995,44187,2009-06-12,2009,11100301,Canadian R.,2,OK520530-00-0150C_2,391396,Arkansas-Canadian,Central Great Plains,Central Great Plains,42.2703,WWAC,826,10,1,4,1,0.430992736,0.569007264,0.0,0,5,3,5,5,1,5,1,25,1.117068811,Excellent,,Blue Thumb,2009-06-12,True
Rock Creek: 40' Swimming Hole,OK310800-02-0090T,OK310800020090_00,34.49133333,-96.992,25712,2002-08-20,2002,11130303,Washita R.,1,OK310800-02-0090T_1,19960374,Washita-Red,Cross Timbers,Central Oklahoma/Texas Plains,135.3816,WWAC,160,13,4,5,1,0.61875,0.09375,0.16875,0,3,5,5,3,1,1,1,19,0.835164835,Good,,Blue Thumb,2002-08-20,True
Rock Creek: 40' Swimming Hole,OK310800-02-0090T,OK310800020090_00,34.49133333,-96.992,41754,2008-07-22,2008,11130303,Washita R.,2,OK310800-02-0090T_2,19960374,Washita-Red,Cross Timbers,Central Oklahoma/Texas Plains,135.3816,WWAC,193,14,4,6,1,0.528497409,0.03626943,0.352331606,0,5,5,5,3,1,1,3,23,1.010989011,Excellent,,Blue Thumb,2008-07-22,True
Rock Creek: 40' Swimming Hole,OK310800-02-0090T,OK310800020090_00,34.49133333,-96.992,51644,2013-06-25,2013,11130303,Washita R.,3,OK310800-02-0090T_3,19960374,Washita-Red,Cross Timbers,Central Oklahoma/Texas Plains,135.3816,WWAC,1195,14,2,6,1,0.70209205,0.045188285,0.081171548,0,5,3,5,3,1,1,1,19,0.835164835,Good,,Blue Thumb,2013-06-25,True
Rock Creek: Hwy 33,OK120420-02-0060G,OK120420020060_00,35.99325,-96.136689,37920,2007-07-31,2007,11110101,Arkansas R.,2,OK120420-02-0060G_2,373031,Arkansas-Canadian,Cross Timbers,Central Oklahoma/Texas Plains,157.7457,WWAC,172,16,0,8,0,0.936046512,0.0,0.023255814,0,5,1,5,1,1,1,1,15,0.659340659,Fair,,Blue Thumb,2007-07-31,True
Rock Creek: Hwy 33,OK120420-02-0060G,OK120420020060_00,35.99325,-96.13669,53887,2014-06-24,2014,11110101,Arkansas R.,3,OK120420-02-0060G_3,373031,Arkansas-Canadian,Cross Timbers,Central Oklahoma/Texas Plains,157.7457,WWAC,392,19,1,7,1,0.548469388,0.0,0.00255102,0,5,1,5,3,1,1,1,17,0.747252747,Fair,,Blue Thumb,2014-06-24,True
Rock Creek: Oklahoma Street,OK310800-02-0122F,OK310800020122_00,34.5104444,-96.9717777,33821,2005-09-19,2005,11130303,Washita R.,1,OK310800-02-0122F_1,19958996,Washita-Red,Cross Timbers,Central Oklahoma/Texas Plains,98.7822,WWAC,334,15,3,4,0,0.392215569,0.230538922,0.04491018,0,5,5,3,1,1,3,1,19,0.835164835,Good,,Blue Thumb,2005-09-19,True
Rock Creek: Oklahoma Street,OK310800-02-0122F,OK310800020122_00,34.5104444,-96.9717777,41753,2008-07-21,2008,11130303,Washita R.,2,OK310800-02-0122F_2,19958996,Washita-Red,Cross Timbers,Central Oklahoma/Texas Plains,98.7822,WWAC,819,16,3,6,1,0.531135531,0.394383394,0.057387057,0,5,5,5,3,1,3,1,23,1.010989011,Excellent,,Blue Thumb,2008-07-21,True
Rock Creek: Oklahoma Street,OK310800-02-0122F,OK310800020122_00,34.5104444,-96.9717777,51643,2013-06-24,2013,11130303,Washita R.,3,OK310800-02-0122F_3,19958996,Washita-Red,Cross Timbers,Central Oklahoma/Texas Plains,98.7822,WWAC,1417,18,3,8,0,0.78616796,0.115031757,0.035991531,0,5,5,5,1,1,1,1,19,0.835164835,Good,,Blue Thumb,2013-06-24,True
Rock Creek: Oklahoma Street,OK310800-02-0122F,OK310800020122_00,34.51044,-96.97178,58627,2020-07-23,2017,11130303,Washita R.,4,OK310800-02-0122F_4,19958996,Washita-Red,Cross Timbers,Central Oklahoma/Texas Plains,98.7822,WWAC,1394,15,3,6,1,0.546628407,0.175035868,0.258967001,0,5,5,5,3,1,1,3,23,1.010989011,Excellent,,Blue Thumb,2020-07-23,True
Rock Creek: Oklahoma Street,OK310800-02-0122F,OK310800020122_00,34.5104444,-96.9717777,63599,2020-07-23,2020,11130303,Washita R.,4,OK310800-02-0122F_4,19958996,Washita-Red,Cross Timbers,Central Oklahoma/Texas Plains,98.7822,WWAC,913,10,2,5,0,0.500547645,0.313253012,0.075575027,0,3,3,5,1,1,3,1,17,0.747252747,Fair,,Blue Thumb,2020-07-23,True
Sanborn Hazen Lake Creek: Stickland Park,OK620900-04-0150G,OK620900040150_00,36.12533,-97.05841,53897,2014-07-22,2014,11050003,Cimarron R.,3,OK620900-04-0150G_3,492062,Cimarron-Upper Arkansas,Cross Timbers,Central Oklahoma/Texas Plains,7.7139,WWAC,809,5,0,3,0,1.0,0.0,0.0,0,1,1,3,1,1,1,1,9,0.395604396,Very Poor,,Blue Thumb,2014-07-22,True
Sanborn Hazen Lake Creek: Stickland Park,OK620900-04-0150G,OK620900040150_00,36.12533,-97.05841,63605,2020-08-17,2020,11050003,Cimarron R.,4,OK620900-04-0150G_4,492062,Cimarron-Upper Arkansas,Cross Timbers,Central Oklahoma/Texas Plains,7.7139,WWAC,608,5,0,4,0,0.988486842,0.0,0.0,0,1,1,3,1,1,1,1,9,0.395604396,Very Poor,,Blue Thumb,2020-08-17,True
Sand Creek: Osage Hills State Park,OK121400-04-0010M,OK121400040010_00,36.72837,-96.18233,41749,2008-07-08,2008,11070106,Arkansas R.,2,OK121400-04-0010M_2,21785274,Neosho-Grand,Cross Timbers,Central Oklahoma/Texas Plains,357.219,WWAC,337,18,6,5,5,0.732937685,0.109792285,0.154302671,0,5,5,5,5,1,1,1,23,1.010989011,Excellent,,Blue Thumb,2008-07-08,True
Sand Creek: Osage Hills State Park,OK121400-04-0010M,OK121400040010_00,36.72837,-96.18233,53890,2014-07-01,2014,11070106,Arkansas R.,3,OK121400-04-0010M_3,21785274,Neosho-Grand,Cross Timbers,Central Oklahoma/Texas Plains,357.219,WWAC,950,24,6,8,4,0.530526316,0.150526316,0.257894737,0,5,5,5,5,1,1,3,25,1.098901099,Excellent,,Blue Thumb,2014-07-01,True
Sand Creek: Osage Hills State Park,OK121400-04-0010M,OK121400040010_00,36.72837,-96.18233,63604,2020-08-10,2020,11070106,Arkansas R.,4,OK121400-04-0010M_4,21785274,Neosho-Grand,Cross Timbers,Central Oklahoma/Texas Plains,357.219,WWAC,1040,22,5,6,4,0.419230769,0.225961538,0.269230769,0,5,5,5,5,1,3,3,27,1.186813187,Excellent,,Blue Thumb,2020-08-10,True
Sandy Creek: Propst,OK520700-03-0040K,OK520700030040_00,35.69508,-96.35695,48330,2010-07-29,2010,11100303,Canadian R.,2,OK520700-03-0040K_2,536775,Arkansas-Canadian,Cross Timbers,Central Oklahoma/Texas Plains,69.5727,WWAC,810,19,3,8,2,0.897530864,0.051851852,0.040740741,0,5,5,5,5,1,1,1,23,1.010989011,Excellent,,Blue Thumb,2010-07-29,True
Sans Bois Creek,OK220200-04-0010L,OK220200040010_40,35.10064,-95.2796,60621,2018-09-14,2018,11110104,Arkansas R.,4,OK220200-04-0010L_4,1544995,Arkansas-Canadian,Arkansas Valley,Arkansas Valley,223.9299,WWAC,187,28,10,8,8,0.636363636,0.026737968,0.219251337,0,5,5,5,5,1,1,3,25,0.925925926,Excellent,,Blue Thumb,2018-09-14,True
Sharp Creek: Smith Grove,OK720500-02-0430D,OK720500020430_00,36.810928,-100.819867,49152,2011-08-01,2011,11100102,Canadian R.,3,OK720500-02-0430D_3,13853193,Cimarron-Upper Arkansas,Southwestern Tablelands,Southwestern Tablelands,708.8247,WWAC,2326,14,1,4,1,0.97205503,0.02794497,0.0,0,5,5,5,5,1,1,1,23,0.958333333,Excellent,,Blue Thumb,2011-08-01,True
Sharp Creek: Smith Grove,OK720500-02-0430D,OK720500020430_00,36.81093,-100.8199,55660,2011-08-01,2015,11100102,Canadian R.,3,OK720500-02-0430D_3,13853193,Cimarron-Upper Arkansas,Southwestern Tablelands,Southwestern Tablelands,708.8247,WWAC,855,13,1,5,1,0.984795322,0.015204678,0.0,0,5,5,5,5,1,1,1,23,0.958333333,Excellent,,Blue Thumb,2011-08-01,True
Sharp Creek: Smith Grove,OK720500-02-0430D,OK720500020430_00,36.81093,-100.8199,63603,2020-08-08,2020,11100102,Canadian R.,4,OK720500-02-0430D_4,13853193,Cimarron-Upper Arkansas,Southwestern Tablelands,Southwestern Tablelands,708.8247,WWAC,850,12,1,4,1,0.92,0.08,0.0,0,5,5,5,5,1,1,1,23,0.958333333,Excellent,,Blue Thumb,2020-08-08,True
Sharp Creek: Smith Silo,OK720500-02-0430G,OK720500020430_00,36.816239,-100.830817,49153,2011-08-01,2011,11100102,Canadian R.,3,OK720500-02-0430G_3,13853175,Cimarron-Upper Arkansas,Southwestern Tablelands,Southwestern Tablelands,690.066,WWAC,1756,11,0,5,0,0.998291572,0.0,0.0,0,5,1,5,1,1,1,1,15,0.625,Fair,,Blue Thumb,2011-08-01,True
Sharp Creek: Smith Silo,OK720500-02-0430G,OK720500020430_00,36.81624,-100.8308,55661,2011-08-01,2015,11100102,Canadian R.,3,OK720500-02-0430G_3,13853175,Cimarron-Upper Arkansas,Southwestern Tablelands,Southwestern Tablelands,690.066,WWAC,818,11,0,6,0,0.986552567,0.0,0.0,0,5,1,5,1,1,1,1,15,0.625,Fair,,Blue Thumb,2011-08-01,True
Sharp Creek: Smith Silo,OK720500-02-0430G,OK720500020430_00,36.816239,-100.830817,63602,2020-08-08,2020,11100102,Canadian R.,4,OK720500-02-0430G_4,13853175,Cimarron-Upper Arkansas,Southwestern Tablelands,Southwestern Tablelands,690.066,WWAC,1237,13,0,6,0,0.987873888,0.0,0.012126112,0,5,1,5,1,1,1,1,15,0.625,Fair,,Blue Thumb,2020-08-08,True
Sixmile Creek: Kouba Farm,OK520530-00-0050J,OK520530000050_00,35.51855,-97.9119,49146,2011-07-27,2011,11100301,Canadian R.,3,OK520530-00-0050J_3,391738,Arkansas-Canadian,Central Great Plains,Central Great Plains,46.1592,WWAC,589,12,0,5,0,0.979626486,0.0,0.0,0,5,1,5,1,1,1,1,15,0.670241287,Fair,,Blue Thumb,2011-07-27,True
Sixmile Creek: Kouba Farm,OK520530-00-0050J,OK520530000050_00,35.51855,-97.9119,53885,2011-07-27,2014,11100301,Canadian R.,3,OK520530-00-0050J_3,391738,Arkansas-Canadian,Central Great Plains,Central Great Plains,46.1592,WWAC,760,15,1,6,2,0.875,0.125,0.121052632,0,5,3,5,5,1,1,1,21,0.938337802,Excellent,,Blue Thumb,2011-07-27,True
Smith Hollow Creek: Adam Thirsty Road,OK121700-04-0070M,OK121700040070_00,35.8126944,-94.75075,30958,2004-08-16,2004,11110103,Illinois R.,1,OK121700-04-0070M_1,401772,Arkansas-Canadian,Ozark Highlands,Ozark Highlands,10.8531,WWAC,522,10,3,3,3,0.021072797,0.011494253,0.978927203,0,3,3,5,1,5,1,5,23,0.711413548,Fair,,Blue Thumb,2004-08-16,True
Soldier Creek: County Road 74,OK620900-03-0160E,OK620900030160_00,35.941751,-97.230707,48463,2011-06-03,2011,11050003,Cimarron R.,3,OK620900-03-0160E_3,494886,Cimarron-Upper Arkansas,Cross Timbers,Central Oklahoma/Texas Plains,20.1492,WWAC,278,11,0,3,0,1.0,0.0,0.0,0,3,1,3,1,1,1,1,11,0.483516484,Poor,,Blue Thumb,2011-06-03,True
Soldier Creek: Hwy 66,OK520710-01-0060D,OK520710010060_00,35.66681,-97.31393,35741,2006-06-19,2006,11100303,Canadian R.,2,OK520710-01-0060D_2,532787,Arkansas-Canadian,Cross Timbers,Central Oklahoma/Texas Plains,48.618,WWAC,1514,11,0,5,0,0.874504624,0.122853369,0.0,0,3,1,5,1,1,1,1,13,0.571428571,Poor,,Blue Thumb,2006-06-19,True
Soldier Creek: Hwy 66,OK520710-01-0060D,OK520710010060_00,35.66681,-97.31393,56748,2020-08-05,2016,11100303,Canadian R.,4,OK520710-01-0060D_4,532787,Arkansas-Canadian,Cross Timbers,Central Oklahoma/Texas Plains,48.618,WWAC,804,9,0,5,0,0.736318408,0.257462687,0.002487562,0,3,1,5,1,1,3,1,15,0.659340659,Fair,,Blue Thumb,2020-08-05,True
Soldier Creek: Hwy 66,OK520710-01-0060D,OK520710010060_00,35.66681,-97.31393,63601,2020-08-05,2020,11100303,Canadian R.,4,OK520710-01-0060D_4,532787,Arkansas-Canadian,Cross Timbers,Central Oklahoma/Texas Plains,48.618,WWAC,763,11,0,7,0,0.985583224,0.001310616,0.00655308,0,3,1,5,1,1,1,1,13,0.571428571,Poor,,Blue Thumb,2020-08-05,True
Soldier Creek: Reno Ave.,OK520520-00-0080G,OK520520000080_00,35.4645,-97.3804,63595,2020-07-01,2020,11100302,Canadian R.,4,OK520520-00-0080G_4,415429,Arkansas-Canadian,Cross Timbers,Central Oklahoma/Texas Plains,37.5057,WWAC,193,9,0,5,0,0.974093264,0.020725389,0.005181347,0,3,1,5,1,1,1,1,13,0.571428571,Poor,,Blue Thumb,2020-07-01,True
South Fork Cavalry Creek: Byrd,OK310830-03-0080P,OK310830030080_00,35.2039,-98.9554,49707,2012-07-11,2012,11130302,Washita R.,3,OK310830-03-0080P_3,682521,Washita-Red,Central Great Plains,Central Great Plains,13.0257,WWAC,864,11,2,5,0,0.361111111,0.0,0.638888889,0,5,5,5,1,1,1,5,23,1.027703307,Excellent,,Blue Thumb,2012-07-11,True
South Quapaw Creek: Meeker Lake Coutfall,OK520700-04-0350X,OK520700040350_00,35.4943,-96.9347,49697,2012-06-26,2012,11100303,Canadian R.,3,OK520700-04-0350X_3,540925,Arkansas-Canadian,Cross Timbers,Central Oklahoma/Texas Plains,33.7824,WWAC,706,15,1,7,1,0.998583569,0.002832861,0.0,0,5,1,5,3,1,1,1,17,0.747252747,Fair,,Blue Thumb,2012-06-26,True
Spring Creek: Cavalier Road,OK121600-01-0290C,OK121600010290_00,36.12777778,-95.20755556,29176,2003-09-15,2003,11070209,Arkansas R.,1,OK121600-01-0290C_1,21772967,Neosho-Grand,Ozark Highlands,Ozark Highlands,426.8565,CWAC,477,17,5,5,9,0.044025157,0.570230608,0.953878407,0,5,5,5,5,5,5,5,35,1.03950104,Excellent,,Blue Thumb,2003-09-15,True
Spring Creek: Cavalier Road,OK121600-01-0290C,OK121600010290_00,36.12777778,-95.20755556,48344,2010-08-12,2010,11070209,Arkansas R.,2,OK121600-01-0290C_2,21772967,Neosho-Grand,Ozark Highlands,Ozark Highlands,426.8565,CWAC,1680,20,7,3,11,0.002380952,0.814285714,0.311904762,0,5,5,5,5,5,5,3,33,0.98010098,Excellent,,Blue Thumb,2010-08-12,True
Spring Creek: Coopers,OK121600-01-0290B,OK121600010290_00,36.124735,-95.2144075,55750,2015-08-21,2015,11070209,Arkansas R.,3,OK121600-01-0290B_3,21772709,Neosho-Grand,Ozark Highlands,Ozark Highlands,455.5377,CWAC,1141,18,8,2,9,0.020157756,0.827344435,0.978089395,0,5,5,3,5,5,5,5,33,0.98010098,Excellent,,Blue Thumb,2015-08-21,True
Spring Creek: Fram Site,OK121600-01-0290R,OK121600010290_00,36.12547222,-94.947,41760,2008-09-02,2008,11070209,Arkansas R.,2,OK121600-01-0290R_2,21771551,Neosho-Grand,Ouachita Mountains,Ozark Highlands,117.6534,CWAC,1254,14,7,2,10,0.001594896,0.854066986,0.987240829,0,5,5,3,5,5,5,5,33,1.178571429,Excellent,,Blue Thumb,2008-09-02,True
Spring Creek: Fram Site,OK121600-01-0290R,OK121600010290_00,36.12547222,-94.947,51649,2013-07-10,2013,11070209,Arkansas R.,3,OK121600-01-0290R_3,21771551,Neosho-Grand,Ouachita Mountains,Ozark Highlands,117.6534,CWAC,743,16,6,2,9,0.036339166,0.499327052,0.955585464,0,5,5,3,5,5,5,5,33,1.178571429,Excellent,,Blue Thumb,2013-07-10,True
Spring Creek: Fram Site,OK121600-01-0290R,OK121600010290_00,36.12547222,-94.947,51651,2013-07-10,2013,11070209,Arkansas R.,3,OK121600-01-0290R_3,21771551,Neosho-Grand,Ouachita Mountains,Ozark Highlands,117.6534,CWAC,764,16,6,4,10,0.048429319,0.388743455,0.951570681,0,5,5,5,5,5,3,5,33,1.178571429,Excellent,,Blue Thumb,2013-07-10,True
Spring Creek: Fram Site,OK121600-01-0290R,OK121600010290_00,36.12547222,-94.947,58622,2017-07-31,2017,11070209,Arkansas R.,4,OK121600-01-0290R_4,21771551,Neosho-Grand,Ouachita Mountains,Ozark Highlands,117.6534,CWAC,1206,19,8,7,11,0.026533997,0.584577114,0.972636816,0,5,5,5,5,5,5,5,35,1.25,Excellent,,Blue Thumb,2017-07-31,True
Spring Creek: Horinek,OK621000-03-0090M,OK621000030090_00,36.835617,-97.078907,48465,2011-06-20,2011,11060004,Arkansas R.,3,OK621000-03-0090M_3,21001677,Cimarron-Upper Arkansas,Central Great Plains,Central Great Plains,27.0423,WWAC,1202,15,3,6,1,0.847753744,0.108153078,0.044093178,0,5,5,5,5,1,1,1,23,1.027703307,Excellent,,Blue Thumb,2011-06-20,True
Spring Creek: Horinek,OK621000-03-0090M,OK621000030090_00,36.83562,-97.07891,53886,2011-06-20,2014,11060004,Arkansas R.,3,OK621000-03-0090M_3,21001677,Cimarron-Upper Arkansas,Central Great Plains,Central Great Plains,27.0423,WWAC,722,15,2,4,1,0.887811634,0.013850416,0.106648199,0,5,5,5,5,1,1,1,23,1.027703307,Excellent,,Blue Thumb,2011-06-20,True
Spring Creek: I-35,OK520710-02-0030G,OK520710020030_00,35.64744444,-97.424,25845,2001-09-24,2001,11100303,Canadian R.,1,OK520710-02-0030G_1,532867,Arkansas-Canadian,Cross Timbers,Central Oklahoma/Texas Plains,40.0509,WWAC,421,17,0,7,2,0.311163895,0.67695962,0.03087886,0,5,1,5,5,1,5,1,23,1.010989011,Excellent,,Blue Thumb,2001-09-24,True
Spring Creek: I-35,OK520710-02-0030G,OK520710020030_00,35.64744444,-97.424,36254,2006-08-28,2006,11100303,Canadian R.,2,OK520710-02-0030G_2,532867,Arkansas-Canadian,Cross Timbers,Central Oklahoma/Texas Plains,40.0509,WWAC,1031,11,0,5,0,0.822502425,0.177497575,0.0,0,3,1,5,1,1,1,1,13,0.571428571,Poor,,Blue Thumb,2006-08-28,True
Spring Creek: I-35,OK520710-02-0030G,OK520710020030_00,35.64744444,-97.424,35151,2006-08-28,2006,11100303,Canadian R.,2,OK520710-02-0030G_2,532867,Arkansas-Canadian,Cross Timbers,Central Oklahoma/Texas Plains,40.0509,WWAC,483,10,0,6,0,0.917184265,0.080745342,0.0,0,3,1,5,1,1,1,1,13,0.571428571,Poor,,Blue Thumb,2006-08-28,True
Spring Creek: I-35,OK520710-02-0030G,OK520710020030_00,35.64744444,-97.424,48232,2006-08-28,2010,11100303,Canadian R.,2,OK520710-02-0030G_2,532867,Arkansas-Canadian,Cross Timbers,Central Oklahoma/Texas Plains,40.0509,WWAC,1196,11,0,6,0,0.799331104,0.178093645,0.022575251,0,3,1,5,1,1,1,1,13,0.571428571,Poor,,Blue Thumb,2006-08-28,True
Spring Creek: I-35,OK520710-02-0030G,OK520710020030_00,35.64744,-97.424,53902,2014-08-11,2014,11100303,Canadian R.,3,OK520710-02-0030G_3,532867,Arkansas-Canadian,Cross Timbers,Central Oklahoma/Texas Plains,40.0509,WWAC,554,11,0,7,0,0.714801444,0.283393502,0.0,0,3,1,5,1,1,3,1,15,0.659340659,Fair,,Blue Thumb,2014-08-11,True
